interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface,heimdall_end_nodes,heimdall_intersect,heimdall_intersect2,heimdall_intersect3,heimdall_intersect4
r3:GigabitEthernet0/0, 15, 0, 11,, 15,, 15,,,,
r1:GigabitEthernet0/0, 9, 0, 3,, 9,, 9,,,,
esw1:Vlan10, 15, 0, 9,, 15,, 15,,,,
r3:GigabitEthernet1/0, 17, 0, 11,, 17,, 17,,,,
r2:GigabitEthernet1/0, 15, 0, 11,, 15,, 15,,,,
esw1:Vlan30, 16, 0, 10,, 16,, 16,,,,
esw2:FastEthernet1/0, 14, 0, 8,, 14,, 14,,,,
isp:GigabitEthernet0/0, 6, 0, 1,, 6,, 6,,,,
r1:GigabitEthernet1/0, 8, 0, 3,, 8,, 8,,,,
esw1:Vlan1, 15, 0, 9,, 15,, 15,,,,
r2:GigabitEthernet0/0, 13, 0, 11,, 13,, 13,,,,
esw2:FastEthernet1/1, 16, 0, 8,, 16,, 16,,,,
esw1:Vlan20, 16, 0, 10,, 16,, 16,,,,
esw1:FastEthernet1/3, 9, 0, 3,, 9,, 9,,,,
isp:GigabitEthernet2/0, 14, 0, 8,, 14,, 14,,,,
r2:GigabitEthernet2/0, 17, 0, 11,, 17,, 17,,,,
isp:GigabitEthernet1/0, 6, 0, 2,, 2,, 2,,,,
