interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface,heimdall_end_nodes,heimdall_intersect,heimdall_intersect2,heimdall_intersect3,heimdall_intersect4
as1border1:GigabitEthernet0/0,13,0,8,10,12,34,12,4,12,6,10
as1border1:GigabitEthernet1/0,13,0,8,11,13,35,13,4,13,6,10
as1border1:Loopback0,13,0,8,11,13,37,13,6,13,8,12
as1border2:GigabitEthernet0/0,13,0,4,6,13,32,9,0,9,9,9
as1border2:GigabitEthernet1/0,13,0,4,6,11,24,7,0,6,6,7
as1border2:GigabitEthernet2/0,13,0,3,4,12,25,8,0,8,8,8
as1border2:Loopback0,13,0,3,4,13,29,8,8,8,8,8
as1core1:GigabitEthernet0/0,13,0,8,11,13,36,13,4,13,9,13
as1core1:GigabitEthernet1/0,13,0,9,12,13,36,13,4,13,8,13
as1core1:Loopback0,13,0,3,4,13,29,8,8,8,8,8
as2border1:GigabitEthernet0/0,13,0,8,11,13,36,13,4,13,6,10
as2border1:GigabitEthernet1/0,13,0,8,11,13,35,13,3,13,7,10
as2border1:GigabitEthernet2/0,13,0,5,7,13,32,13,13,13,13,13
as2border1:Loopback0,13,0,8,11,13,37,13,4,13,7,10
as2border2:GigabitEthernet0/0,13,0,8,11,13,35,13,4,13,6,10
as2border2:GigabitEthernet1/0,13,0,5,7,13,32,13,13,13,13,13
as2border2:GigabitEthernet2/0,13,0,8,11,13,34,13,3,13,7,10
as2border2:Loopback0,13,0,8,11,13,36,13,4,13,7,10
as2core1:GigabitEthernet0/0,13,0,8,11,13,35,13,3,13,7,10
as2core1:GigabitEthernet1/0,13,0,8,11,13,34,13,3,13,7,10
as2core1:GigabitEthernet2/0,13,0,5,7,13,33,13,7,13,13,13
as2core1:GigabitEthernet3/0,13,0,5,7,13,33,13,7,13,13,13
as2core1:Loopback0,13,0,9,13,13,37,13,0,13,5,13
as2core2:GigabitEthernet0/0,13,0,5,7,13,32,13,13,13,13,13
as2core2:GigabitEthernet1/0,13,0,5,7,13,32,13,13,13,13,13
as2core2:GigabitEthernet2/0,13,0,5,7,13,33,13,13,13,13,13
as2core2:GigabitEthernet3/0,13,0,5,7,13,33,13,13,13,13,13
as2core2:Loopback0,13,0,5,7,13,34,13,13,13,13,13
as2dept1:GigabitEthernet0/0,13,0,5,7,13,33,13,0,13,9,13
as2dept1:GigabitEthernet1/0,13,0,5,7,13,33,13,0,13,9,13
as2dept1:GigabitEthernet2/0,13,0,9,13,13,36,13,0,13,11,13
as2dept1:GigabitEthernet3/0,13,0,9,13,13,36,13,0,13,11,13
as2dept1:Loopback0,13,0,3,7,13,30,9,9,9,9,9
as2dist1:GigabitEthernet0/0,13,0,4,7,7,20,7,1,7,7,7
as2dist1:GigabitEthernet1/0,13,0,5,7,13,33,13,1,13,13,13
as2dist1:GigabitEthernet2/0,13,0,5,7,13,33,13,1,13,13,13
as2dist1:Loopback0,13,0,5,7,13,34,13,7,13,13,13
as2dist2:GigabitEthernet0/0,13,0,5,7,13,33,13,1,13,13,13
as2dist2:GigabitEthernet1/0,13,0,4,7,7,21,7,1,7,7,7
as2dist2:GigabitEthernet2/0,13,0,5,7,13,33,13,1,13,13,13
as2dist2:Loopback0,13,0,5,7,13,34,13,7,13,13,13
as3border1:GigabitEthernet0/0,13,0,8,10,12,33,12,4,12,6,10
as3border1:GigabitEthernet1/0,13,0,8,11,13,34,13,4,13,6,10
as3border1:Loopback0,13,0,3,4,13,27,8,8,8,8,8
as3border2:GigabitEthernet0/0,13,0,4,6,13,32,9,0,5,5,9
as3border2:GigabitEthernet1/0,13,0,4,6,11,23,7,0,6,6,7
as3border2:Loopback0,13,0,3,4,13,27,8,8,8,8,8
as3core1:GigabitEthernet0/0,13,0,8,11,13,36,13,4,13,9,13
as3core1:GigabitEthernet1/0,13,0,9,12,13,36,13,4,13,8,13
as3core1:Loopback0,13,0,3,4,13,27,8,8,8,8,8
